id;entrega;diagnostico;comconpers;motivación
182;0.8485;1;0.477777777777778;0.8
183;0.9496;1;0.477777777777778;0.8
184;0.9565;0.5;0.477777777777778;0.6
185;0.8768;0;0.477777777777778;0.4
186;0.9348;1;0.477777777777778;0.2
187;0.4532;1;0.473333333333333;1
188;0.9065;1;0.466666666666667;1
189;0.8741;1;0.466666666666667;1
190;0.8897;1;0.466666666666667;1
191;0.9412;1;0.466666666666667;1
192;1,00;1;0.466666666666667;1
193;0.705;1;0.466666666666667;0.8
194;0.8705;0;0.466666666666667;0.8
195;0.7554;1;0.466666666666667;0.8
196;0.7266;0;0.466666666666667;0.8
197;0.2302;0;0.466666666666667;0.8
198;0.7914;1;0.466666666666667;0.8
199;0.9779;1;0.466666666666667;0.8
200;0.8333;1;0.466666666666667;0.8
201;0.7826;1;0.466666666666667;0.6
202;0.1151;0.5;0.466666666666667;0.6
203;0.777;0;0.466666666666667;0.6
204;0.2971;1;0.466666666666667;0.4
205;0.7536;0;0.466666666666667;0.4
206;0.7536;0;0.466666666666667;0.2
207;0.8188;1;0.466666666666667;0.2
208;0.9242;1;0.455555555555556;0.6
209;0.4173;0;0.45;0.6
210;0.8478;0;0.45;0.6
211;1,00;1;0.45;0.4
212;0.9638;1;0.45;0.2
213;0.7554;0.5;0.433333333333333;1
214;0.9424;1;0.433333333333333;1
215;0.9856;1;0.433333333333333;1
216;0.6763;1;0.433333333333333;1
217;0.8849;1;0.433333333333333;1
218;0.9565;1;0.433333333333333;1
219;0.7754;1;0.433333333333333;1
220;0.8788;1;0.433333333333333;0.8
221;0.6978;0.5;0.433333333333333;0.8
222;0.4275;0;0.433333333333333;0.8
223;0.9353;0;0.433333333333333;0.6
224;0,00;0.5;0.433333333333333;0.6
225;0.6978;1;0.433333333333333;0.6
226;0.9856;1;0.433333333333333;0.6
227;0.7554;1;0.433333333333333;0.6
228;0.9784;1;0.433333333333333;0.6
229;0.4275;0;0.433333333333333;0.6
230;0.3047;1;0.433333333333333;0.6
231;1,00;1;0.433333333333333;0.6
232;0.9783;1;0.433333333333333;0.6
233;0.9493;0;0.433333333333333;0.6
234;0.8841;0;0.433333333333333;0.6
235;0.7754;0;0.433333333333333;0.6
236;0.4783;0.5;0.433333333333333;0.6
237;0.8633;1;0.433333333333333;0.4
238;0.7899;1;0.433333333333333;0.4
239;0.9928;1;0.433333333333333;0.4
240;0.8261;0.5;0.433333333333333;0.4
241;0.413;0;0.433333333333333;0.4
242;1,00;1;0.433333333333333;0.4
243;0.8623;1;0.433333333333333;0.4
244;0.6331;1;0.433333333333333;0.2
245;0.1957;1;0.433333333333333;0.2
246;0.2319;1;0.433333333333333;0.2
247;0.3261;0;0.433333333333333;0.2
248;0.41;0;0.433333333333333;0.2
249;1,00;0;0.433333333333333;0.2
250;0.9565;0;0.433333333333333;0.2
251;0.6957;0;0.433333333333333;0.2
252;0.2174;1;0.433333333333333;0.2
253;0.7698;1;0.4;1
254;0.3453;1;0.4;0.8
255;0.8182;1;0.4;0.6
256;0.0719;0;0.4;0.6
257;1,00;1;0.394444444444444;0.8
258;0.9928;0;0.394444444444444;0.8
259;0.7842;1;0.394444444444444;0.8
260;0.8382;0.5;0.394444444444444;0.8
261;0.7273;1;0.394444444444444;0.6
262;0.8913;0;0.394444444444444;0.6
263;1,00;1;0.39;1
264;1,00;1;0.383333333333333;1
265;0.8777;0.5;0.383333333333333;1
266;0.9928;1;0.383333333333333;1
267;0.9496;1;0.383333333333333;1
268;0.8273;1;0.383333333333333;1
269;0.763;1;0.383333333333333;1
270;0.9704;1;0.383333333333333;1
271;0.9407;1;0.383333333333333;1
272;0.4297;1;0.383333333333333;1
273;0.0441;1;0.383333333333333;1
274;0.9706;1;0.383333333333333;1
275;1,00;1;0.383333333333333;1
276;1,00;1;0.383333333333333;0.8
277;0.9924;1;0.383333333333333;0.8
278;0.9924;1;0.383333333333333;0.8
279;0.803;1;0.383333333333333;0.8
280;0.9565;1;0.383333333333333;0.8
281;0.9568;1;0.383333333333333;0.8
282;0.8489;1;0.383333333333333;0.8
283;0.9856;1;0.383333333333333;0.8
284;0.6741;1;0.383333333333333;0.8
285;0.5481;0;0.383333333333333;0.8
286;0.8971;1;0.383333333333333;0.8
287;0.8828;1;0.383333333333333;0.8
288;0.558;1;0.383333333333333;0.6
289;0.6547;0.5;0.383333333333333;0.6
290;0.6691;0.5;0.383333333333333;0.6
291;0.7536;0;0.383333333333333;0.6
292;0.3696;1;0.383333333333333;0.6
293;0.9062;1;0.383333333333333;0.6
294;1,00;1;0.383333333333333;0.6
295;0.9783;0;0.383333333333333;0.6
296;0.9924;1;0.383333333333333;0.4
297;1,00;1;0.383333333333333;0.2
298;0.9855;1;0.383333333333333;0.2
299;0.9638;0;0.383333333333333;0.2
300;0.2246;0;0.383333333333333;0.2
301;0.2803;1;0.375;0.6
302;0.189;1;0.375;0.4
303;0.9784;1;0.372222222222222;1
304;0.6691;1;0.372222222222222;1
305;0.8406;1;0.372222222222222;0.4
306;0.0580000000000001;0;0.372222222222222;0.2
307;0.8174;1;0.366666666666667;0.6
308;0.8551;1;0.366666666666667;0.2
309;0.442;1;0.366666666666667;0.2
310;0.9848;1;0.35;1
311;0.9826;1;0.35;1
312;0.8705;1;0.35;1
313;0.9928;1;0.35;1
314;0.9784;1;0.35;1
315;0.777;1;0.35;1
316;0.964;0.5;0.35;1
317;0.7681;0;0.35;1
318;0.942;1;0.35;1
319;0.9928;0;0.35;1
320;0.9783;1;0.35;1
321;0.9556;1;0.35;1
322;0.8806;1;0.35;1
323;1,00;1;0.35;1
324;1,00;1;0.35;1
325;0.9926;1;0.35;1
326;0.9111;1;0.35;1
327;0.9632;1;0.35;1
328;1,00;1;0.35;0.8
329;0.8333;0;0.35;0.8
330;0.9137;1;0.35;0.8
331;0.8849;1;0.35;0.8
332;0.8129;0;0.35;0.8
333;0.7266;1;0.35;0.8
334;0.3043;1;0.35;0.8
335;0.1812;1;0.35;0.8
336;0.8696;1;0.35;0.8
337;0.6029;1;0.35;0.8
338;0.9191;0.5;0.35;0.8
339;0.9333;1;0.35;0.8
340;0.803;1;0.35;0.6
341;0.9773;1;0.35;0.6
342;1,00;1;0.35;0.6
343;0.3712;1;0.35;0.6
344;0.6667;1;0.35;0.6
345;0.6763;0;0.35;0.6
346;0.2029;1;0.35;0.6
347;0.558;1;0.35;0.6
348;0.8261;1;0.35;0.6
349;0.8551;0;0.35;0.6
350;0.5362;0;0.35;0.6
351;0.9565;0;0.35;0.6
